compound,OQMD_id,OQMD_hf,DFT_hf,hf_partial_cor,hf_full_cor,error
KCaF3,19784,-3.68525383,-3.473412052,-3.615612052,-3.668812052,0.016441778
RbDyCl3,1718052,-2.08786317,-1.8619203,-2.0749203,-2.0713203,0.01654287
CsGeF3,1709200,-2.57756861,-2.384576206,-2.526776206,-2.560976206,0.016592404
KCuF3,1706426,-2.32743353,-2.15360817,-2.29580817,-2.31060817,0.01682536
KMnF3,6890,-2.81857533,-2.620108368,-2.762308368,-2.801708368,0.016866962
CsHgI3,1706430,-0.85232586,-0.74193416,-0.82533416,-0.83533416,0.0169917
KSmF3,1706433,-3.24397744,-3.049252344,-3.191452344,-3.226852344,0.017125096
RbMnF3,8202,-2.81456109,-2.621294838,-2.763494838,-2.797294838,0.017266252
CsHgBr3,4639,-1.17758174,-0.989389674,-1.147189674,-1.160189674,0.017392066
NaMoF3,1711858,-1.94004481,-1.782039976,-1.942439976,-1.922639976,0.017404834
RbScBr3,1575112,-1.7638267,-1.56935546,-1.74275546,-1.74635546,0.01747124
RbNiCl3,1575618,-1.2942717,-1.059611464,-1.272611464,-1.276611464,0.017660236
RbCuF3,1706466,-2.29966911,-2.13034561,-2.27254561,-2.28174561,0.0179235
RbPdF3,13107,-2.09620147,-1.93200109,-2.07420109,-2.07820109,0.01800038
KCdCl3,1710598,-1.63026201,-1.376889602,-1.589889602,-1.611289602,0.018972408
RbSmF3,1706437,-3.23292432,-3.041836522,-3.184036522,-3.213836522,0.019087798
CsSnBr3,2352,-1.45056354,-1.230883444,-1.426683444,-1.430683444,0.019880096
LiZnF3,1709257,-2.55435997,-2.343596144,-2.485796144,-2.534396144,0.019963826
RbCdCl3,1346263,-1.661912,-1.412989874,-1.625989874,-1.641789874,0.020122126
KDyBr3,1728490,-1.73071381,-1.535929826,-1.709329826,-1.710129826,0.020583984
KNdF3,1710595,-3.22027503,-3.03008561,-3.17228561,-3.19908561,0.02118942
RbDyBr3,1718040,-1.76727248,-1.576985308,-1.750385308,-1.745585308,0.021687172
RbRhI3,1711972,-0.66828605,-0.553757106,-0.652757106,-0.646557106,0.021728944
KNiBr3,1575356,-1.03368706,-0.830100234,-1.003500234,-1.011900234,0.021786826
CsSnI3,12694,-1.07516857,-0.93088574,-1.05228574,-1.05328574,0.02188283
NaPdF3,1709167,-1.93106774,-1.757674888,-1.918074888,-1.908874888,0.022192852
CsAgBr3,1489057,-1.11892336,-0.927628192,-1.101028192,-1.096628192,0.022295168
ZnMoI3,1535141,0.21195431,0.32812742,0.22912742,0.23452742,0.02257311
KCdBr3,1713243,-1.36411395,-1.147647386,-1.321047386,-1.341247386,0.022866564
KTmF3,1706434,-3.27661574,-3.093108688,-3.235308688,-3.253708688,0.022907052
RbNiBr3,1548752,-1.04554736,-0.845953792,-1.019353792,-1.022153792,0.023393568
RbNdF3,1706473,-3.24460312,-3.0576121,-3.1998121,-3.2210121,0.02359102
RbDyI3,1711980,-1.310775,-1.195894918,-1.294894918,-1.287094918,0.023680082
KCdI3,1722772,-0.95543998,-0.815378716,-0.914378716,-0.931578716,0.023861264
RbTmF3,1706439,-3.24498824,-3.066113804,-3.208313804,-3.221113804,0.023874436
InZnCl3,1725986,-1.14093241,-0.86837296,-1.08137296,-1.11697296,0.02395945
RbCdBr3,1711957,-1.40145189,-1.189371376,-1.362771376,-1.377371376,0.024080514
InVF3,1709225,-2.3269948,-2.138272474,-2.280472474,-2.302872474,0.024122326
InCoCl3,1722736,-0.78693214,-0.533341786,-0.746341786,-0.762541786,0.024390354
InPrF3,1728525,-3.00419123,-2.794008884,-2.936208884,-2.979608884,0.024582346
KHgCl3,1722732,-1.29584494,-1.05958039,-1.25698039,-1.27098039,0.02486455
RbCdI3,1709291,-0.99718494,-0.861536304,-0.960536304,-0.972136304,0.025048636
NaNiCl3,1725948,-1.17346103,-0.925872178,-1.157072178,-1.147872178,0.025588852
KSnCl3,1711907,-1.58954016,-1.32336861,-1.55876861,-1.56376861,0.02577155
CsAgI3,1709171,-0.81994765,-0.702345606,-0.801345606,-0.793945606,0.026002044
RbHgCl3,1549160,-1.33286141,-1.100939564,-1.298339564,-1.306739564,0.026121846
RbAgCl3,1432183,-1.27820152,-1.047836451,-1.260836451,-1.251836451,0.026365069
NaCuF3,1710589,-2.22417393,-2.041365496,-2.201765496,-2.197765496,0.026408434
KGeF3,1710597,-2.56017145,-2.357425064,-2.499625064,-2.533625064,0.026546386
KTiF3,1706427,-3.00990647,-2.812482826,-2.967482826,-2.983082826,0.026823644
RbSnCl3,1432128,-1.63339416,-1.371643925,-1.607043925,-1.606443925,0.026950235
RbMgF3,646367,-3.48619176,-3.283651312,-3.425851312,-3.458851312,0.027340448
KHgI3,1722776,-0.75679076,-0.636247102,-0.719647102,-0.729447102,0.027343658
NaSmF3,1706392,-3.26599046,-3.061519904,-3.221919904,-3.238519904,0.027470556
KHgBr3,1711902,-1.09158328,-0.8933098,-1.0511098,-1.0639098,0.02767348
RbGeF3,1709202,-2.57657388,-2.378245434,-2.520445434,-2.548845434,0.027728446
